# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
92400000 221.403 283.132 336.424 840.959 2.10891e+07 232424 0.0259064
92500000 198.768 306.239 337.278 842.286 2.05304e+07 231199 0.0258944
92600000 220.989 296.099 359.131 876.218 2.34995e+07 251137 0.0258681
92700000 214.651 270.99 326.073 811.714 1.89671e+07 216523 0.0258316
92800000 207.244 255.849 341.154 804.248 1.80891e+07 211010 0.0258179
92900000 222.805 265.573 356.448 844.826 2.10914e+07 233252 0.025797
93000000 206.851 259.33 372.047 838.228 1.99576e+07 227084 0.0258122
93100000 221.064 249.051 383.504 853.618 2.11142e+07 235347 0.0258299
93200000 225.946 264.042 393.685 883.672 2.34869e+07 252560 0.025844
93300000 229.412 252.662 376.794 858.867 2.18403e+07 239606 0.0258429
93400000 228.99 246.877 373.084 848.951 2.10913e+07 234071 0.0258424
93500000 232.369 268.264 357.373 858.007 2.22773e+07 241249 0.0258121
93600000 225.067 279.275 349.303 853.645 2.19556e+07 239024 0.0257792
93700000 252.934 284.933 327.161 865.029 2.35783e+07 248039 0.0257101
93800000 250.8 277.288 348.733 876.822 2.42523e+07 253706 0.0256552
93900000 254.764 312.209 346.958 913.931 2.75969e+07 276256 0.0255875
94000000 247.739 303.336 347.547 898.623 2.61176e+07 266673 0.025528
94100000 238.446 308.87 328.958 876.274 2.42274e+07 253693 0.0254703
94200000 210.656 284.799 310.89 806.345 1.86517e+07 214027 0.0254324
94300000 213.553 270.639 318.019 802.21 1.83801e+07 211778 0.0253959
94400000 233.801 279.148 301.116 814.065 1.96524e+07 219722 0.0253365
94500000 214.195 243.422 310.758 768.375 1.62029e+07 194348 0.0253027
94600000 225.362 269.804 306.654 801.819 1.86456e+07 212648 0.0252526
94700000 223.981 273.26 323.245 820.486 1.97842e+07 221936 0.02521
94800000 233.504 271.854 338.445 843.804 2.14842e+07 234515 0.0251682
94900000 221.363 249.747 355.954 827.063 1.96788e+07 222978 0.0251589
95000000 235.046 255.099 352.352 842.496 2.11269e+07 232663 0.0251324
95100000 227.107 281.267 338.578 846.952 2.16276e+07 236002 0.0250943
95200000 215.24 291.893 351.254 858.386 2.20682e+07 240959 0.0250745
95300000 198.395 278.693 347.168 824.256 1.91954e+07 220921 0.0250728
95400000 205.657 259.359 343.608 808.624 1.83277e+07 213122 0.0250646
95500000 227.709 262.869 365.194 855.772 2.18597e+07 239014 0.0250514
95600000 216.355 274.048 328.707 819.11 1.94896e+07 220491 0.0250199
95700000 188.488 277.256 351.757 817.501 1.83826e+07 216088 0.0250341
95800000 209.098 286.639 339.102 834.84 2.03244e+07 228042 0.0250144
95900000 199.554 284.157 340.199 823.91 1.92909e+07 221263 0.0250061
96000000 221.268 275.92 310.884 808.073 1.89802e+07 215621 0.0249626
96100000 214.981 257.656 288.823 761.46 1.59983e+07 191900 0.0249187
96200000 202.168 256.363 302.427 760.959 1.56744e+07 190501 0.0248896
96300000 222.272 254.501 298.746 775.518 1.68996e+07 199002 0.024845
96400000 211.315 254.361 305.567 771.243 1.64243e+07 196045 0.0248109
96500000 230.568 261.956 282.941 775.465 1.70893e+07 199754 0.024757
96600000 227.058 235.139 335.539 797.736 1.79145e+07 208475 0.0247369
96700000 201.635 242.889 332.452 776.976 1.62818e+07 196758 0.0247305
96800000 211.768 231.284 324.486 767.538 1.58928e+07 192743 0.0247152
96900000 221.148 246.215 303.341 770.704 1.65169e+07 196220 0.0246762
97000000 214.026 246.739 315.014 775.779 1.66354e+07 197956 0.0246477
97100000 203.489 248.022 296.335 747.846 1.4956e+07 184268 0.0246174
97200000 216.2 282.034 301.438 799.671 1.83804e+07 211162 0.0245771
97300000 227.178 246.59 318.885 792.653 1.78639e+07 207098 0.0245423
97400000 221.418 249.813 296.304 767.536 1.63895e+07 194941 0.0245006
97500000 224.561 241.166 316.205 781.932 1.71246e+07 201422 0.0244685
97600000 247.212 263.971 300.552 811.735 1.96131e+07 218894 0.0244117
97700000 227.412 258.881 311.631 797.924 1.83465e+07 210416 0.0243705
97800000 206.439 257.001 299.51 762.95 1.58905e+07 191860 0.0243393
97900000 202.728 251.974 343.865 798.567 1.75654e+07 207439 0.0243388
98000000 215.451 260.44 333.051 808.941 1.86881e+07 214608 0.0243171
98100000 211.351 257.481 326.433 795.265 1.77641e+07 207461 0.0242956
98200000 214.073 227.785 297.671 739.529 1.45152e+07 180291 0.0242664
98300000 220.909 231.203 309.858 761.97 1.5826e+07 191165 0.0242383
98400000 217.367 255.137 310.736 783.24 1.72329e+07 202283 0.0242053
98500000 224.391 259.646 302.644 786.681 1.76327e+07 204753 0.0241638
